input_id,out_v1,out_v2,out_v3
H000566-KYX56G,1970711,2688822,1970711
H000567-9O4HZC,-55069,516861,-55069
H000568-QT1EYR,7406458,5470691,7406458
H000569-5X2DLD,4504361,272708,4504361
H000571-06HJQC,4391568,5171338,4391568
H000572-2RN8D2,2103562,3260955,2103562
H000573-KESQQU,-276789,807069,-276789
H000574-G0PKAY,6060299,4468249,6060299
H000575-OHJ3O1,-290923,-329457,-290923
H000578-PEQ4X4,2028648,1894833,2028648
H000579-SST75B,13340849,10169898,13340849
H000580-D1SW6O,3445863,5128103,3445863
H000581-BOO3B0,5787406,3970269,5787406
H000582-6XFXTC,1863946,1414836,1863946
H000583-KOGV7I,8346034,6572146,8346034
H000584-RB5LQ8,4073254,2208000,4073254
H000585-CQ2WXM,-4246,1097587,-4246
H000586-BUSTDY,1865707,2048552,1865707
H000587-LLDPGL,-46217,405313,-46217
H000588-ONLU2T,6983525,3559630,6983525
H000589-B17P63,3242122,-31102,3242122
H000590-JYGXOJ,3425467,2890741,3425467
H000593-AFOBYN,-447034,-210767,-447034
H000594-0PHGY6,5885132,2809890,5885132
H000595-Y4DE34,-194083,-218830,-194083
H000596-3YHS9S,1324881,229062,1324881
H000598-DIIFRM,920535,553298,920535
H000601-R17R0Y,-873940,-663803,-873940
H000602-45XTLL,266416,19397,266416
H000603-ELSMCK,5511961,1453485,5511961
H000604-5I4YAH,-569902,-543139,-569902
H000605-FFH5EC,-34342,-172379,-34342
H000606-NAL94S,-207336,-245277,-207336
H000608-6IV9MY,5632842,6620410,5632842
H000609-8LJRGY,2623420,4283884,2623420
H000610-4OEOKO,-3372,401951,-3372
H000611-WTHJ29,6998164,7102726,6998164
H000612-T6ZCYF,2053734,1838690,2053734
H000613-37C8TZ,-472197,-260888,-472197
H000615-699D7B,6006973,3219591,6006973
H000617-60YJSM,-51843,1791824,-51843
H000618-3IUH6A,2844949,385532,2844949
H000619-19V8P7,84598,2125263,84598
H000621-QJ7IJF,2490761,2111775,2490761
H000622-LCFNKM,-349660,-263628,-349660
H000623-45TV25,2960569,2453779,2960569
H000624-TN8JGI,24968,4584735,24968
H000625-U4AB1K,84082,1348134,84082
H000626-B4SQRT,-36369,-76614,-36369
H000627-CIRN6K,-305303,-259298,-305303
H000629-HQ4UYA,4193329,1413799,4193329
H000630-ZFN3AI,1327887,1213776,1327887
H000631-1RDSBM,16243815,5419684,16243815
H000632-ERTLGV,-278148,-265645,-278148
H000633-C1CQUS,-360369,-180613,-360369
H000634-CC9FVB,30166,-90684,30166
H000636-F1W6KF,2360862,726852,2360862
H000637-F4N1QA,5419603,5392673,5419603
H000638-X2BZF7,-191106,-144836,-191106
H000639-8PFKOS,845144,348890,845144
H000640-WS3DU1,-228866,-133347,-228866
H000641-WMURIS,2301623,2693407,2301623
H000642-5T3JLP,-29252,51697,-29252
H000643-CXHHOT,663683,108474,663683
H000645-MMT54F,-122906,-86380,-122906
H000647-WZI4ZR,2916178,2592,2916178
H000648-5U4G81,2594273,2076755,2594273
H000650-R4IYQT,19905,-7841,19905
H000652-I5FHHW,-84334,645271,-84334
H000655-3IDCE7,-33931,-23797,-33931
H000656-QZ2HW7,1513364,1462632,1513364
H000657-PP9LWR,-76402,-73251,-76402
H000658-ERAAIX,1347035,448424,1347035
H000659-IOJU7W,2934887,7994,2934887
H000660-4QNN8Q,91202,456815,91202
H000661-9XNV4X,171,421420,171
H000662-KTBS5O,-94238,-48372,-94238
H000663-8WZZL6,32693,0,32693
H000665-N6U3PZ,1335748,2926683,1335748
H000666-JG4NCV,-806111,-735488,-806111
H000667-3BANQ9,5905911,3223780,5905911
H000668-1THUGF,1434913,5823,1434913
H000669-RVAI5I,2101460,30106,2101460
H000670-FZ4JCW,1531989,2277884,1531989
H000671-Y9W985,-292196,-86276,-292196
H000672-CZTMP0,6922835,5934647,6922835
H000673-W4S23Q,-48076,-77890,-48076
H000674-I9MXXA,4976281,3016711,4976281
H000675-USXKKR,288341,943809,288341
H000677-MP4QTK,3018009,644883,3018009
H000678-VG8S7V,-5727,-17243,-5727
H000679-EVIE81,-341837,-399621,-341837
H000680-E59RGQ,-168645,-85086,-168645
H000681-UKDBMQ,569382,-96155,569382
H000682-KW8ZW3,-118709,-76664,-118709
H000683-EVNOEP,-14448,1507934,-14448
H000685-204NTR,986756,5090704,986756
H000687-2BO3G3,6910095,1753477,6910095
H000688-TZCCV2,4173937,5866733,4173937
H000689-FFYS2Q,3660369,2553336,3660369
H000691-V2EMYG,-1429609,-1055173,-1429609
H000692-RK6T8T,0,1453614,0
H000695-VDTIH1,611365,903513,611365
H000697-KEGJ72,1741352,4099229,1741352
H000698-S3H2AV,3491645,2511830,3491645
H000699-RANSHV,6570217,4373343,6570217
H000700-X0RQIQ,4346635,3565832,4346635
H000701-49KPGS,2746916,1190236,2746916
